"date","long","lat","species","BAPos","jackalCount"
2009-01-02,NA,NA,"DB","NEG",NA
2009-01-03,15.92047,-19.14722,"EB","POS",NA
2009-01-03,15.91895,-19.168,"EB","POS",NA
2009-01-05,15.924,-19.20392,"GC","",NA
2009-01-05,16.90816,-18.7918,"PL","",NA
2009-01-05,16.90816,-18.7918,"PL","",NA
2009-01-17,15.81917,-19.07323,"EB","NEG",NA
2009-01-17,15.71472,-19.10052,"SC","NEG",NA
2009-01-19,15.8726,-19.1337,"AM","POS",NA
2009-01-20,15.84456,-19.09293,"AM","POS",2
2009-01-21,NA,NA,"AM","POS",NA
2009-01-21,NA,NA,"AM","POS",NA
2009-01-23,15.79074,-19.09711,"CT","POS",NA
2009-01-23,15.83638,-19.09008,"EB","POS",NA
2009-01-25,NA,NA,"EB","",NA
2009-02-04,NA,NA,"EB","NEG",NA
2009-02-07,15.82411,-19.03342,"AM","NEG",2
2009-02-11,16.9016,-18.84422,"PA","",NA
2009-02-25,15.85331,-19.0302,"EB","POS",NA
2009-02-26,16.09939,-19.11093,"DB","NEG",NA
2009-03-01,15.87239,-19.13438,"EB","POS",12
2009-03-02,15.63744,-19.09377,"AM","POS",4
2009-03-03,15.84091,-19.09563,"AM","NEG",2
2009-03-03,15.90917,-19.1554,"AM","NEG",8
2009-03-03,15.84101,-19.09592,"EB","POS",NA
2009-03-03,15.82605,-19.08069,"UNK","",NA
2009-03-05,15.62143,-19.07793,"UNK","",5
2009-03-06,15.77473,-19.03263,"EB","NEG",1
2009-03-07,15.85577,-19.12365,"AM","POS",2
2009-03-07,15.80098,-19.08864,"EB","NEG",1
2009-03-07,15.80098,-19.08864,"UNK","",NA
2009-03-08,15.79432,-19.09814,"AM","POS",2
2009-03-11,15.81082,-19.07509,"EB","POS",NA
2009-03-11,15.91453,-19.16692,"Veranus","NEG",4
2009-03-12,15.76334,-19.09502,"EB","POS",1
2009-03-15,15.72985,-19.1002,"EB","NEG",NA
2009-03-17,15.91879,-19.17743,"","NEG",NA
